Municipality,Province,Latitude,Longitude,Month,Mean daily global insolation (kWh/m2) : S WITH 90,Mean daily global insolation (kWh/m2): S WITH LAT,Mean daily global insolation (kWh/m2): S WITH LAT + 15,Mean daily global insolation (kWh/m2): S WITH LAT - 15,Mean daily global insolation (kWh/m2): 2 AXIS TRACK,Mean daily global insolation (kWh/m2): S WITH 0
Saint-Côme--Linière,Quebec,46.07,-70.52,February,4.16,4.31,4.47,3.94,5.33,2.52
Saint-Côme--Linière,Quebec,46.07,-70.52,January,3.18,3.06,3.27,2.7,3.73,1.53
Saint-Côme--Linière,Quebec,46.07,-70.52,July,2.61,5.01,4.33,5.48,7.92,5.6
Saint-Côme--Linière,Quebec,46.07,-70.52,June,2.48,4.83,4.14,5.32,7.73,5.62
Saint-Côme--Linière,Quebec,46.07,-70.52,March,4.3,5.22,5.13,5.05,6.72,3.68
Saint-Côme--Linière,Quebec,46.07,-70.52,May,2.76,4.98,4.37,5.39,7.66,5.19
Saint-Côme--Linière,Quebec,46.07,-70.52,November,2.48,2.55,2.67,2.31,3.08,1.38
Saint-Côme--Linière,Quebec,46.07,-70.52,October,2.94,3.47,3.47,3.29,4.36,2.29
Saint-Côme--Linière,Quebec,46.07,-70.52,September,3.12,4.4,4.16,4.4,5.88,3.56
Sainte-Anne-des-Monts--Tourelle,Quebec,49.13,-66.49,Annual,3.25,4.2,4,4.2,5.77,3.29
Sainte-Anne-des-Monts--Tourelle,Quebec,49.13,-66.49,April,3.66,5.18,4.8,5.33,7.15,4.51
Sainte-Anne-des-Monts--Tourelle,Quebec,49.13,-66.49,August,3.02,4.76,4.28,5.02,6.94,4.56
Sainte-Anne-des-Monts--Tourelle,Quebec,49.13,-66.49,December,2.77,2.57,2.78,2.23,3.11,0.95
Sainte-Anne-des-Monts--Tourelle,Quebec,49.13,-66.49,February,4.54,4.58,4.78,4.14,5.66,2.24
Sainte-Anne-des-Monts--Tourelle,Quebec,49.13,-66.49,January,3.56,3.35,3.61,2.92,4.1,1.29
Sainte-Anne-des-Monts--Tourelle,Quebec,49.13,-66.49,July,2.75,4.82,4.18,5.28,7.53,5.28
Sainte-Anne-des-Monts--Tourelle,Quebec,49.13,-66.49,June,2.74,4.93,4.24,5.45,7.85,5.51
Sainte-Anne-des-Monts--Tourelle,Quebec,49.13,-66.49,March,4.56,5.28,5.23,5.06,6.76,3.5
Sainte-Anne-des-Monts--Tourelle,Quebec,49.13,-66.49,May,2.96,5.04,4.42,5.45,7.75,5.12
Sainte-Anne-des-Monts--Tourelle,Quebec,49.13,-66.49,November,2.52,2.53,2.65,2.28,3,1.18
Sainte-Anne-des-Monts--Tourelle,Quebec,49.13,-66.49,October,2.93,3.33,3.33,3.15,4.03,1.97
Sainte-Anne-des-Monts--Tourelle,Quebec,49.13,-66.49,September,3.05,4.05,3.83,4.08,5.34,3.26
Sainte-Clotilde-de-Châteauguay,Quebec,45.16,-73.68,Annual,3.14,4.35,4.12,4.35,6.04,3.57
Sainte-Clotilde-de-Châteauguay,Quebec,45.16,-73.68,April,3.11,4.91,4.51,5.07,6.86,4.41
Sainte-Clotilde-de-Châteauguay,Quebec,45.16,-73.68,August,2.96,5.07,4.55,5.34,7.47,4.98
Sainte-Clotilde-de-Châteauguay,Quebec,45.16,-73.68,December,2.8,2.65,2.85,2.31,3.24,1.19
Sainte-Clotilde-de-Châteauguay,Quebec,45.16,-73.68,February,4.39,4.54,4.72,4.13,5.67,2.54
Sainte-Clotilde-de-Châteauguay,Quebec,45.16,-73.68,January,3.4,3.26,3.49,2.87,4,1.57
Sainte-Clotilde-de-Châteauguay,Quebec,45.16,-73.68,July,2.7,5.33,4.59,5.81,8.42,5.85
Sainte-Clotilde-de-Châteauguay,Quebec,45.16,-73.68,June,2.56,5.19,4.42,5.7,8.3,5.86
Sainte-Clotilde-de-Châteauguay,Quebec,45.16,-73.68,March,4.33,5.3,5.22,5.11,6.9,3.66
Sainte-Clotilde-de-Châteauguay,Quebec,45.16,-73.68,May,2.75,5.14,4.49,5.53,7.84,5.3
Sainte-Clotilde-de-Châteauguay,Quebec,45.16,-73.68,November,2.51,2.6,2.72,2.35,3.13,1.36
Sainte-Clotilde-de-Châteauguay,Quebec,45.16,-73.68,October,3.13,3.69,3.7,3.47,4.59,2.37
Sainte-Clotilde-de-Châteauguay,Quebec,45.16,-73.68,September,3.18,4.49,4.26,4.49,6,3.67
Saint-Élie,Quebec,46.49,-72.96,Annual,3.2,4.31,4.1,4.3,5.97,3.47
Saint-Élie,Quebec,46.49,-72.96,April,3.35,5.07,4.67,5.23,7.06,4.47
Saint-Élie,Quebec,46.49,-72.96,August,2.96,4.94,4.43,5.2,7.3,4.83
Saint-Élie,Quebec,46.49,-72.96,December,2.98,2.79,3.01,2.42,3.39,1.13
Saint-Élie,Quebec,46.49,-72.96,February,4.58,4.67,4.88,4.24,5.84,2.46
Saint-Élie,Quebec,46.49,-72.96,January,3.61,3.43,3.68,3,4.18,1.49
Saint-Élie,Quebec,46.49,-72.96,July,2.69,5.13,4.42,5.6,8.13,5.65
Saint-Élie,Quebec,46.49,-72.96,June,2.56,4.98,4.26,5.49,8.03,5.7
Saint-Élie,Quebec,46.49,-72.96,March,4.65,5.54,5.47,5.34,7.18,3.66
Saint-Élie,Quebec,46.49,-72.96,May,2.78,5.01,4.38,5.4,7.71,5.23
Saint-Élie,Quebec,46.49,-72.96,November,2.46,2.52,2.63,2.28,3.01,1.3
Saint-Élie,Quebec,46.49,-72.96,October,2.87,3.36,3.36,3.18,4.16,2.19
Saint-Élie,Quebec,46.49,-72.96,September,3.04,4.26,4.03,4.26,5.68,3.49
Sainte-Perpétue-de-L'Islet,Quebec,47.06,-69.94,Annual,3.05,4.11,3.9,4.13,5.69,3.4
Sainte-Perpétue-de-L'Islet,Quebec,47.06,-69.94,April,3.36,5,4.61,5.17,6.9,4.41
Sainte-Perpétue-de-L'Islet,Quebec,47.06,-69.94,August,2.91,4.78,4.29,5.04,7,4.71
Sainte-Perpétue-de-L'Islet,Quebec,47.06,-69.94,December,2.55,2.41,2.58,2.11,2.91,1.1
Sainte-Perpétue-de-L'Islet,Quebec,47.06,-69.94,February,4.14,4.26,4.42,3.88,5.26,2.39
Sainte-Perpétue-de-L'Islet,Quebec,47.06,-69.94,January,3.19,3.04,3.26,2.68,3.72,1.46
Sainte-Perpétue-de-L'Islet,Quebec,47.06,-69.94,July,2.62,4.9,4.23,5.36,7.74,5.47
Sainte-Perpétue-de-L'Islet,Quebec,47.06,-69.94,June,2.53,4.84,4.16,5.34,7.77,5.59
Sainte-Perpétue-de-L'Islet,Quebec,47.06,-69.94,March,4.32,5.16,5.09,4.99,6.62,3.57
Sainte-Perpétue-de-L'Islet,Quebec,47.06,-69.94,May,2.77,4.9,4.31,5.3,7.57,5.15
Sainte-Perpétue-de-L'Islet,Quebec,47.06,-69.94,November,2.45,2.51,2.62,2.27,3.01,1.31
Sainte-Perpétue-de-L'Islet,Quebec,47.06,-69.94,October,2.85,3.34,3.34,3.17,4.15,2.16
Sainte-Perpétue-de-L'Islet,Quebec,47.06,-69.94,September,3.03,4.21,3.98,4.22,5.6,3.39
Saint-Lin--Laurentides,Quebec,45.85,-73.76,Annual,3.21,4.37,4.15,4.37,6.07,3.53
Saint-Lin--Laurentides,Quebec,45.85,-73.76,April,3.27,5.03,4.63,5.18,7.01,4.44
Saint-Lin--Laurentides,Quebec,45.85,-73.76,August,3.01,5.08,4.56,5.34,7.51,4.93
Saint-Lin--Laurentides,Quebec,45.85,-73.76,December,2.93,2.75,2.97,2.39,3.36,1.15
Saint-Lin--Laurentides,Quebec,45.85,-73.76,February,4.57,4.68,4.88,4.25,5.86,2.5
Saint-Lin--Laurentides,Quebec,45.85,-73.76,January,3.58,3.4,3.65,2.97,4.16,1.52
Saint-Lin--Laurentides,Quebec,45.85,-73.76,July,2.72,5.28,4.55,5.76,8.37,5.79
Saint-Lin--Laurentides,Quebec,45.85,-73.76,June,2.55,5.09,4.34,5.6,8.18,5.78
Saint-Lin--Laurentides,Quebec,45.85,-73.76,March,4.57,5.51,5.44,5.31,7.16,3.68
Saint-Lin--Laurentides,Quebec,45.85,-73.76,May,2.78,5.11,4.47,5.51,7.84,5.29
Saint-Lin--Laurentides,Quebec,45.85,-73.76,November,2.49,2.57,2.68,2.32,3.07,1.32
Saint-Lin--Laurentides,Quebec,45.85,-73.76,October,3.04,3.55,3.56,3.35,4.4,2.28
Saint-Lin--Laurentides,Quebec,45.85,-73.76,September,3.13,4.39,4.16,4.39,5.87,3.6
Saint-Régis,Quebec,45,-74.65,Annual,3.15,4.37,4.14,4.37,6.06,3.58
Saint-Régis,Quebec,45,-74.65,April,3.13,4.95,4.54,5.1,6.91,4.42
Saint-Régis,Quebec,45,-74.65,August,2.96,5.08,4.56,5.35,7.48,5.01
Saint-Régis,Quebec,45,-74.65,December,2.79,2.64,2.85,2.3,3.22,1.18
Saint-Régis,Quebec,45,-74.65,February,4.4,4.55,4.74,4.14,5.68,2.51
Saint-Régis,Quebec,45,-74.65,January,3.45,3.31,3.54,2.9,4.05,1.56
Saint-Régis,Quebec,45,-74.65,July,2.71,5.37,4.62,5.86,8.5,5.89
Saint-Régis,Quebec,45,-74.65,June,2.57,5.23,4.46,5.74,8.34,5.88
Saint-Régis,Quebec,45,-74.65,March,4.36,5.34,5.26,5.14,6.94,3.68
Saint-Régis,Quebec,45,-74.65,May,2.74,5.16,4.5,5.55,7.86,5.34
Saint-Régis,Quebec,45,-74.65,November,2.5,2.6,2.71,2.35,3.12,1.36
Saint-Régis,Quebec,45,-74.65,October,3.16,3.72,3.74,3.51,4.63,2.39
Saint-Régis,Quebec,45,-74.65,September,3.14,4.45,4.22,4.45,5.94,3.66
Saint-Sauveur-des-Monts,Quebec,45.9,-74.17,Annual,3.19,4.33,4.12,4.32,6,3.49
Saint-Sauveur-des-Monts,Quebec,45.9,-74.17,April,3.29,5.04,4.64,5.18,7.01,4.4
Saint-Sauveur-des-Monts,Quebec,45.9,-74.17,August,2.94,4.98,4.47,5.24,7.34,4.89
Saint-Sauveur-des-Monts,Quebec,45.9,-74.17,December,2.94,2.76,2.97,2.39,3.36,1.14
Saint-Sauveur-des-Monts,Quebec,45.9,-74.17,February,4.56,4.66,4.86,4.22,5.83,2.43
Saint-Sauveur-des-Monts,Quebec,45.9,-74.17,January,3.6,3.41,3.66,2.98,4.18,1.49
Saint-Sauveur-des-Monts,Quebec,45.9,-74.17,July,2.69,5.22,4.49,5.7,8.26,5.75
Saint-Sauveur-des-Monts,Quebec,45.9,-74.17,June,2.52,5.04,4.3,5.54,8.08,5.74
Saint-Sauveur-des-Monts,Quebec,45.9,-74.17,March,4.55,5.46,5.4,5.26,7.09,3.6
Saint-Sauveur-des-Monts,Quebec,45.9,-74.17,May,2.73,5.04,4.41,5.43,7.74,5.28
Saint-Sauveur-des-Monts,Quebec,45.9,-74.17,November,2.46,2.54,2.65,2.29,3.03,1.3
Saint-Sauveur-des-Monts,Quebec,45.9,-74.17,October,2.99,3.49,3.5,3.29,4.32,2.24
Saint-Sauveur-des-Monts,Quebec,45.9,-74.17,September,3.07,4.31,4.08,4.32,5.75,3.54
Saint-Stanislas-de-Champlain,Quebec,46.61,-72.39,Annual,3.16,4.25,4.04,4.25,5.89,3.45
Saint-Stanislas-de-Champlain,Quebec,46.61,-72.39,April,3.34,5.04,4.64,5.2,7.01,4.46
Saint-Stanislas-de-Champlain,Quebec,46.61,-72.39,August,2.92,4.86,4.36,5.12,7.18,4.79
Saint-Stanislas-de-Champlain,Quebec,46.61,-72.39,December,2.94,2.75,2.97,2.39,3.34,1.13
Saint-Stanislas-de-Champlain,Quebec,46.61,-72.39,February,4.52,4.61,4.81,4.19,5.75,2.46
Saint-Stanislas-de-Champlain,Quebec,46.61,-72.39,January,3.56,3.38,3.62,2.96,4.11,1.49
Saint-Stanislas-de-Champlain,Quebec,46.61,-72.39,July,2.66,5.04,4.34,5.5,7.97,5.59
Saint-Stanislas-de-Champlain,Quebec,46.61,-72.39,June,2.54,4.92,4.21,5.41,7.92,5.65
Saint-Stanislas-de-Champlain,Quebec,46.61,-72.39,March,4.62,5.51,5.44,5.31,7.12,3.66
Saint-Stanislas-de-Champlain,Quebec,46.61,-72.39,May,2.77,4.96,4.35,5.36,7.64,5.21
Saint-Stanislas-de-Champlain,Quebec,46.61,-72.39,November,2.43,2.49,2.6,2.25,2.98,1.3
Saint-Stanislas-de-Champlain,Quebec,46.61,-72.39,October,2.79,3.28,3.27,3.11,4.08,2.16
Saint-Stanislas-de-Champlain,Quebec,46.61,-72.39,September,2.98,4.18,3.95,4.19,5.57,3.41
Saint-Urbain-de-Charlevoix,Quebec,47.56,-70.54,Annual,3.15,4.2,3.99,4.21,5.83,3.42
Saint-Urbain-de-Charlevoix,Quebec,47.56,-70.54,April,3.45,5.09,4.69,5.25,7.03,4.45
Saint-Urbain-de-Charlevoix,Quebec,47.56,-70.54,August,3.07,4.99,4.48,5.26,7.39,4.75
Saint-Urbain-de-Charlevoix,Quebec,47.56,-70.54,December,2.67,2.51,2.7,2.19,3.03,1.08
Saint-Urbain-de-Charlevoix,Quebec,47.56,-70.54,February,4.31,4.4,4.58,4,5.45,2.4
Saint-Urbain-de-Charlevoix,Quebec,47.56,-70.54,January,3.34,3.17,3.4,2.78,3.86,1.44
Saint-Urbain-de-Charlevoix,Quebec,47.56,-70.54,July,2.73,5.05,4.36,5.52,8.04,5.54
Saint-Urbain-de-Charlevoix,Quebec,47.56,-70.54,June,2.59,4.89,4.19,5.39,7.89,5.61
Saint-Urbain-de-Charlevoix,Quebec,47.56,-70.54,March,4.51,5.33,5.26,5.14,6.84,3.61
Saint-Urbain-de-Charlevoix,Quebec,47.56,-70.54,May,2.81,4.93,4.33,5.34,7.65,5.17
Saint-Urbain-de-Charlevoix,Quebec,47.56,-70.54,November,2.42,2.47,2.58,2.23,2.96,1.28
Saint-Urbain-de-Charlevoix,Quebec,47.56,-70.54,October,2.83,3.3,3.29,3.13,4.1,2.15
Saint-Urbain-de-Charlevoix,Quebec,47.56,-70.54,September,3.1,4.28,4.05,4.29,5.73,3.5
Salluit,Quebec,62.2,-75.65,Annual,3.37,3.85,3.67,3.87,5.48,2.78
Salluit,Quebec,62.2,-75.65,April,6.7,7.44,7.18,7.38,10.73,4.87
Salluit,Quebec,62.2,-75.65,August,3.01,3.89,3.47,4.14,5.83,3.66
Salluit,Quebec,62.2,-75.65,December,0.78,0.73,0.78,0.64,0.81,0.15
Salluit,Quebec,62.2,-75.65,February,4.1,3.99,4.16,3.6,4.7,1.14
Salluit,Quebec,62.2,-75.65,January,1.69,1.59,1.69,1.39,1.8,0.32
Salluit,Quebec,62.2,-75.65,July,3.32,4.62,3.98,5.08,7.82,5.11
Salluit,Quebec,62.2,-75.65,June,3.78,5.22,4.52,5.74,8.95,5.93
Salluit,Quebec,62.2,-75.65,March,6.21,6.41,6.46,6.03,8.24,2.91
Salluit,Quebec,62.2,-75.65,May,5.09,6.14,5.67,6.41,9.41,5.76
Salluit,Quebec,62.2,-75.65,November,1.33,1.28,1.34,1.15,1.43,0.35
Salluit,Quebec,62.2,-75.65,October,2.04,2.12,2.12,2.01,2.43,0.98
Salluit,Quebec,62.2,-75.65,September,2.52,2.88,2.72,2.92,3.66,2.14
Sanikiluaq,Nunavut,56.53,-79.23,Annual,3.32,3.98,3.8,3.98,5.58,3.06
Sanikiluaq,Nunavut,56.53,-79.23,April,5.39,6.59,6.23,6.65,9.42,5.09
Sanikiluaq,Nunavut,56.53,-79.23,August,2.87,4.06,3.63,4.31,6.09,4.04
Sanikiluaq,Nunavut,56.53,-79.23,December,1.93,1.78,1.91,1.54,2.07,0.48
Sanikiluaq,Nunavut,56.53,-79.23,February,4.94,4.85,5.07,4.36,5.9,1.76
Sanikiluaq,Nunavut,56.53,-79.23,January,3.14,2.92,3.14,2.54,3.45,0.74
Sanikiluaq,Nunavut,56.53,-79.23,July,2.88,4.48,3.87,4.92,7.42,5.25
Sanikiluaq,Nunavut,56.53,-79.23,June,3.18,4.93,4.23,5.42,8.17,5.78
Sanikiluaq,Nunavut,56.53,-79.23,March,5.92,6.33,6.35,5.99,8.26,3.46
Sanikiluaq,Nunavut,56.53,-79.23,May,3.65,5.13,4.58,5.47,7.99,5.63
Sanikiluaq,Nunavut,56.53,-79.23,November,1.67,1.63,1.7,1.48,1.85,0.64
Sanikiluaq,Nunavut,56.53,-79.23,October,2.03,2.22,2.2,2.14,2.59,1.3
Sanikiluaq,Nunavut,56.53,-79.23,September,2.38,2.94,2.76,2.98,3.78,2.47
Saturna,BC,48.8,-123.2,Annual,2.8,3.94,3.67,4,5.61,3.45
Saturna,BC,48.8,-123.2,April,3.13,4.71,4.3,4.89,6.65,4.5
Saturna,BC,48.8,-123.2,August,3.37,5.46,4.89,5.75,8.3,5.41
Saturna,BC,48.8,-123.2,December,1.71,1.66,1.77,1.46,1.96,0.73
Saturna,BC,48.8,-123.2,February,2.52,2.76,2.8,2.56,3.31,1.66
Saturna,BC,48.8,-123.2,January,1.84,1.84,1.94,1.65,2.17,0.9
Saturna,BC,48.8,-123.2,July,3.01,5.53,4.77,6.04,9.08,6.29
Saturna,BC,48.8,-123.2,June,2.77,5.14,4.4,5.67,8.46,5.92
Saturna,BC,48.8,-123.2,March,3.21,4.05,3.92,3.95,5.21,3.02
Saturna,BC,48.8,-123.2,May,2.86,4.96,4.33,5.36,7.68,5.48
Saturna,BC,48.8,-123.2,November,1.99,2.06,2.14,1.86,2.42,1.04
Saturna,BC,48.8,-123.2,October,3.19,3.66,3.67,3.46,4.57,2.29
Saturna,BC,48.8,-123.2,September,3.98,5.35,5.1,5.29,7.33,4.08
Scotland,Ontario,43.02,-80.37,Annual,2.84,4.18,3.94,4.23,5.84,3.69
Scotland,Ontario,43.02,-80.37,April,3.08,4.99,4.59,5.16,7.02,4.41
Scotland,Ontario,43.02,-80.37,August,2.86,5.16,4.64,5.44,7.61,5.24
Scotland,Ontario,43.02,-80.37,December,2.21,2.19,2.32,1.96,2.59,1.22
Scotland,Ontario,43.02,-80.37,February,3.51,3.79,3.89,3.5,4.58,2.54
Scotland,Ontario,43.02,-80.37,January,2.71,2.69,2.85,2.4,3.23,1.61
Scotland,Ontario,43.02,-80.37,July,2.54,5.37,4.64,5.9,8.71,6.12
Scotland,Ontario,43.02,-80.37,June,2.51,5.41,4.64,5.98,8.81,6.05
Scotland,Ontario,43.02,-80.37,March,3.44,4.39,4.3,4.26,5.58,3.57
Scotland,Ontario,43.02,-80.37,May,2.64,5.16,4.52,5.58,7.87,5.46
Scotland,Ontario,43.02,-80.37,November,2.33,2.49,2.59,2.27,2.99,1.44
Scotland,Ontario,43.02,-80.37,October,3.21,3.87,3.88,3.65,4.85,2.61
Scotland,Ontario,43.02,-80.37,September,3.13,4.6,4.36,4.59,6.23,3.96
Seldom-Little Seldom,Newfoundland and Labrador,49.62,-54.19,Annual,2.69,3.52,3.33,3.54,4.73,3.09
Seldom-Little Seldom,Newfoundland and Labrador,49.62,-54.19,April,3.06,4.24,3.93,4.39,5.64,4.13
Seldom-Little Seldom,Newfoundland and Labrador,49.62,-54.19,August,2.7,4.25,3.81,4.5,6.07,4.38
Seldom-Little Seldom,Newfoundland and Labrador,49.62,-54.19,December,2.07,1.95,2.09,1.71,2.29,0.78
Seldom-Little Seldom,Newfoundland and Labrador,49.62,-54.19,February,3.44,3.51,3.63,3.22,4.25,1.9
Seldom-Little Seldom,Newfoundland and Labrador,49.62,-54.19,January,2.68,2.56,2.72,2.26,3.04,1.06
Seldom-Little Seldom,Newfoundland and Labrador,49.62,-54.19,July,2.58,4.47,3.89,4.88,6.81,5.24
Seldom-Little Seldom,Newfoundland and Labrador,49.62,-54.19,June,2.44,4.25,3.68,4.68,6.54,5.39
Seldom-Little Seldom,Newfoundland and Labrador,49.62,-54.19,March,3.78,4.38,4.31,4.25,5.47,3.1
Seldom-Little Seldom,Newfoundland and Labrador,49.62,-54.19,May,2.52,4.09,3.61,4.42,6.03,4.82
Seldom-Little Seldom,Newfoundland and Labrador,49.62,-54.19,November,1.98,2.02,2.1,1.84,2.37,1.06
Seldom-Little Seldom,Newfoundland and Labrador,49.62,-54.19,October,2.42,2.79,2.77,2.66,3.4,1.91
Seldom-Little Seldom,Newfoundland and Labrador,49.62,-54.19,September,2.73,3.68,3.47,3.7,4.78,3.25
Sharbot Lake,Ontario,44.77,-76.69,Annual,3.13,4.37,4.14,4.39,6.07,3.61
Sharbot Lake,Ontario,44.77,-76.69,April,3.19,5.04,4.63,5.19,7.04,4.46
Sharbot Lake,Ontario,44.77,-76.69,August,3.03,5.21,4.68,5.49,7.68,5.08
Sharbot Lake,Ontario,44.77,-76.69,December,2.71,2.58,2.77,2.26,3.12,1.17
Sharbot Lake,Ontario,44.77,-76.69,February,4.27,4.44,4.61,4.04,5.49,2.48
Sharbot Lake,Ontario,44.77,-76.69,January,3.39,3.26,3.49,2.86,3.98,1.53
Sharbot Lake,Ontario,44.77,-76.69,July,2.78,5.53,4.77,6.05,8.86,6.05
Sharbot Lake,Ontario,44.77,-76.69,June,2.64,5.38,4.59,5.92,8.61,5.98
Sharbot Lake,Ontario,44.77,-76.69,March,4.22,5.18,5.11,5,6.69,3.6
Sharbot Lake,Ontario,44.77,-76.69,May,2.77,5.19,4.54,5.58,7.85,5.37
Sharbot Lake,Ontario,44.77,-76.69,November,2.4,2.51,2.61,2.27,2.99,1.34
Sharbot Lake,Ontario,44.77,-76.69,October,3.15,3.72,3.73,3.51,4.6,2.41
Sharbot Lake,Ontario,44.77,-76.69,September,3.11,4.42,4.19,4.43,5.92,3.72
Shilo,Manitoba,49.81,-99.64,Annual,3.79,4.89,4.66,4.87,6.96,3.65
Shilo,Manitoba,49.81,-99.64,April,4.16,5.95,5.5,6.1,8.63,4.93
Shilo,Manitoba,49.81,-99.64,August,3.5,5.53,4.95,5.82,8.48,5.18
Shilo,Manitoba,49.81,-99.64,December,3.43,3.16,3.43,2.72,3.83,1.02
Shilo,Manitoba,49.81,-99.64,February,4.8,4.85,5.05,4.39,6,2.31
Shilo,Manitoba,49.81,-99.64,January,4.1,3.84,4.13,3.33,4.68,1.36
Shilo,Manitoba,49.81,-99.64,July,3.21,5.77,4.96,6.32,9.69,6.22
Shilo,Manitoba,49.81,-99.64,June,3.05,5.59,4.77,6.19,9.48,6.11
Shilo,Manitoba,49.81,-99.64,March,5.05,5.81,5.76,5.56,7.53,3.64
Shilo,Manitoba,49.81,-99.64,May,3.31,5.65,4.95,6.12,9.13,5.76
Shilo,Manitoba,49.81,-99.64,November,3.33,3.27,3.46,2.91,3.96,1.31
Shilo,Manitoba,49.81,-99.64,October,3.85,4.31,4.34,4.03,5.39,2.28
Shilo,Manitoba,49.81,-99.64,September,3.73,4.92,4.67,4.91,6.7,3.66
Shulus,BC,50.13,-120.85,Annual,3.04,4.16,3.88,4.22,5.91,3.56
Shulus,BC,50.13,-120.85,April,3.49,5.12,4.68,5.29,7.27,4.78
Shulus,BC,50.13,-120.85,August,3.6,5.66,5.07,5.96,8.59,5.44
Shulus,BC,50.13,-120.85,December,1.76,1.7,1.81,1.5,1.98,0.74
Shulus,BC,50.13,-120.85,February,2.89,3.09,3.16,2.87,3.7,1.84
Shulus,BC,50.13,-120.85,January,2.03,1.99,2.1,1.78,2.32,0.97
Shulus,BC,50.13,-120.85,July,3.2,5.7,4.9,6.22,9.41,6.41
Shulus,BC,50.13,-120.85,June,2.97,5.36,4.57,5.9,8.89,6.12
Shulus,BC,50.13,-120.85,March,3.74,4.59,4.46,4.47,5.88,3.27
Shulus,BC,50.13,-120.85,May,3.12,5.24,4.57,5.65,8.11,5.62
Shulus,BC,50.13,-120.85,November,2.18,2.22,2.32,2.01,2.63,1.09
Shulus,BC,50.13,-120.85,October,3.44,3.9,3.91,3.68,4.84,2.33
Shulus,BC,50.13,-120.85,September,4.01,5.29,5.03,5.24,7.2,3.96
Sop's Arm,Newfoundland and Labrador,49.77,-56.88,Annual,2.61,3.48,3.27,3.53,4.71,3.12
Sop's Arm,Newfoundland and Labrador,49.77,-56.88,April,3.18,4.46,4.11,4.61,5.95,4.26
Sop's Arm,Newfoundland and Labrador,49.77,-56.88,August,2.77,4.32,3.87,4.56,6.17,4.39
Sop's Arm,Newfoundland and Labrador,49.77,-56.88,December,1.61,1.56,1.65,1.4,1.81,0.78
Sop's Arm,Newfoundland and Labrador,49.77,-56.88,February,3.21,3.31,3.41,3.06,3.98,1.93
Sop's Arm,Newfoundland and Labrador,49.77,-56.88,January,2.22,2.16,2.28,1.93,2.53,1.05
Sop's Arm,Newfoundland and Labrador,49.77,-56.88,July,2.6,4.48,3.88,4.89,6.84,5.21
Sop's Arm,Newfoundland and Labrador,49.77,-56.88,June,2.55,4.45,3.83,4.89,6.94,5.4
Sop's Arm,Newfoundland and Labrador,49.77,-56.88,March,3.76,4.39,4.31,4.27,5.48,3.18
Sop's Arm,Newfoundland and Labrador,49.77,-56.88,May,2.68,4.39,3.86,4.74,6.49,4.89
Sop's Arm,Newfoundland and Labrador,49.77,-56.88,November,1.77,1.84,1.9,1.69,2.15,1.05
Sop's Arm,Newfoundland and Labrador,49.77,-56.88,October,2.27,2.66,2.62,2.55,3.24,1.9
Sop's Arm,Newfoundland and Labrador,49.77,-56.88,September,2.77,3.73,3.52,3.76,4.87,3.29
Spencerville,Ontario,44.84,-75.54,Annual,3.14,4.36,4.14,4.37,6.05,3.59
Spencerville,Ontario,44.84,-75.54,April,3.13,4.97,4.56,5.13,6.94,4.43
Spencerville,Ontario,44.84,-75.54,August,2.98,5.14,4.61,5.41,7.56,5.04
Spencerville,Ontario,44.84,-75.54,December,2.74,2.61,2.8,2.28,3.17,1.18
Spencerville,Ontario,44.84,-75.54,February,4.35,4.51,4.7,4.1,5.6,2.49
Spencerville,Ontario,44.84,-75.54,January,3.44,3.29,3.53,2.89,4.03,1.55
Spencerville,Ontario,44.84,-75.54,July,2.69,5.36,4.62,5.85,8.49,5.91
Spencerville,Ontario,44.84,-75.54,June,2.61,5.33,4.54,5.85,8.5,5.95
Spencerville,Ontario,44.84,-75.54,March,4.29,5.26,5.18,5.06,6.81,3.63
Spencerville,Ontario,44.84,-75.54,May,2.73,5.16,4.5,5.55,7.83,5.36
Spencerville,Ontario,44.84,-75.54,November,2.46,2.56,2.67,2.32,3.07,1.36
Spencerville,Ontario,44.84,-75.54,October,3.15,3.73,3.74,3.51,4.62,2.41
Spencerville,Ontario,44.84,-75.54,September,3.13,4.46,4.22,4.46,5.96,3.71
St. André,New Brunswick,47.13,-67.75,Annual,3.12,4.16,3.96,4.17,5.73,3.39
St. André,New Brunswick,47.13,-67.75,April,3.34,4.97,4.59,5.14,6.86,4.4
St. André,New Brunswick,47.13,-67.75,August,2.89,4.74,4.26,5,6.89,4.71
St. André,New Brunswick,47.13,-67.75,December,2.65,2.49,2.69,2.17,3.02,1.08
St. André,New Brunswick,47.13,-67.75,February,4.18,4.3,4.47,3.92,5.31,2.38
St. André,New Brunswick,47.13,-67.75,January,3.38,3.21,3.44,2.81,3.94,1.42
St. André,New Brunswick,47.13,-67.75,July,2.62,4.84,4.2,5.3,7.58,5.41
St. André,New Brunswick,47.13,-67.75,June,2.56,4.83,4.16,5.34,7.7,5.55
St. André,New Brunswick,47.13,-67.75,March,4.31,5.15,5.08,4.97,6.61,3.56
St. André,New Brunswick,47.13,-67.75,May,2.78,4.91,4.32,5.32,7.54,5.12
St. André,New Brunswick,47.13,-67.75,November,2.55,2.61,2.73,2.35,3.13,1.31
St. André,New Brunswick,47.13,-67.75,October,3.06,3.56,3.57,3.36,4.4,2.2
St. André,New Brunswick,47.13,-67.75,September,3.16,4.34,4.11,4.36,5.77,3.47
