Municipality,Province,Latitude,Longitude,Month,Mean daily global insolation (kWh/m2) : S WITH 90,Mean daily global insolation (kWh/m2): S WITH LAT,Mean daily global insolation (kWh/m2): S WITH LAT + 15,Mean daily global insolation (kWh/m2): S WITH LAT - 15,Mean daily global insolation (kWh/m2): 2 AXIS TRACK,Mean daily global insolation (kWh/m2): S WITH 0
Bakers Narrows,Manitoba,54.68,-101.66,January,3.01,2.82,3.03,2.46,3.38,0.9
Bakers Narrows,Manitoba,54.68,-101.66,July,3.21,5.22,4.48,5.72,8.93,5.83
Bakers Narrows,Manitoba,54.68,-101.66,June,3.21,5.27,4.49,5.82,9.05,6.02
Bakers Narrows,Manitoba,54.68,-101.66,March,5.26,5.81,5.79,5.54,7.55,3.39
Bakers Narrows,Manitoba,54.68,-101.66,May,3.54,5.45,4.78,5.89,8.71,5.78
Bakers Narrows,Manitoba,54.68,-101.66,November,2.49,2.41,2.55,2.14,2.89,0.9
Bakers Narrows,Manitoba,54.68,-101.66,October,2.75,3.06,3.05,2.9,3.81,1.76
Bakers Narrows,Manitoba,54.68,-101.66,September,3.13,4.01,3.78,4.01,5.45,3.03
Barrière,BC,51.18,-120.12,Annual,3.11,4.17,3.9,4.22,5.91,3.47
Barrière,BC,51.18,-120.12,April,3.66,5.24,4.81,5.4,7.46,4.69
Barrière,BC,51.18,-120.12,August,3.53,5.46,4.88,5.74,8.26,5.29
Barrière,BC,51.18,-120.12,December,1.84,1.76,1.88,1.56,2.05,0.71
Barrière,BC,51.18,-120.12,February,3.08,3.24,3.31,3,3.88,1.79
Barrière,BC,51.18,-120.12,January,2.19,2.13,2.25,1.89,2.48,0.93
Barrière,BC,51.18,-120.12,July,3.22,5.59,4.8,6.1,9.22,6.28
Barrière,BC,51.18,-120.12,June,3.02,5.34,4.55,5.87,8.89,6.07
Barrière,BC,51.18,-120.12,March,3.96,4.75,4.63,4.62,6.08,3.24
Barrière,BC,51.18,-120.12,May,3.15,5.18,4.52,5.59,8.08,5.59
Barrière,BC,51.18,-120.12,November,2.3,2.32,2.42,2.09,2.74,1.04
Barrière,BC,51.18,-120.12,October,3.41,3.84,3.84,3.61,4.74,2.19
Barrière,BC,51.18,-120.12,September,3.94,5.11,4.86,5.08,6.94,3.76
Bathurst Inlet,Nunavut,66.84,-108.05,Annual,3.33,3.76,3.53,3.81,5.92,2.66
Bathurst Inlet,Nunavut,66.84,-108.05,April,6.79,7.44,7.1,7.43,11.19,4.46
Bathurst Inlet,Nunavut,66.84,-108.05,August,3.36,4.2,3.74,4.47,7.09,3.58
Bathurst Inlet,Nunavut,66.84,-108.05,December,0.52,0.48,0.51,0.41,0.51,0.03
Bathurst Inlet,Nunavut,66.84,-108.05,February,3.28,3.15,3.29,2.83,3.69,0.66
Bathurst Inlet,Nunavut,66.84,-108.05,January,1.35,1.26,1.34,1.09,1.4,0.11
Bathurst Inlet,Nunavut,66.84,-108.05,July,3.74,4.92,4.23,5.43,9.76,5.39
Bathurst Inlet,Nunavut,66.84,-108.05,June,4.18,5.46,4.7,6.03,11.04,6.34
Bathurst Inlet,Nunavut,66.84,-108.05,March,6.17,6.28,6.3,5.92,8.19,2.25
Bathurst Inlet,Nunavut,66.84,-108.05,May,5.46,6.48,5.91,6.81,11.16,5.99
Bathurst Inlet,Nunavut,66.84,-108.05,November,0.97,0.92,0.97,0.82,1.01,0.19
Bathurst Inlet,Nunavut,66.84,-108.05,October,1.46,1.48,1.48,1.4,1.75,0.81
Bathurst Inlet,Nunavut,66.84,-108.05,September,2.68,3.03,2.86,3.03,4.16,2.02
Beaverton,Ontario,44.43,-79.15,Annual,2.99,4.25,4.01,4.29,5.93,3.63
Beaverton,Ontario,44.43,-79.15,April,3.25,5.14,4.73,5.31,7.23,4.52
Beaverton,Ontario,44.43,-79.15,August,2.9,5.05,4.54,5.33,7.43,5.07
Beaverton,Ontario,44.43,-79.15,December,2.34,2.26,2.41,2,2.71,1.16
Beaverton,Ontario,44.43,-79.15,February,3.84,4.04,4.18,3.71,4.95,2.46
Beaverton,Ontario,44.43,-79.15,January,2.98,2.89,3.08,2.57,3.51,1.5
Beaverton,Ontario,44.43,-79.15,July,2.72,5.46,4.72,5.99,8.84,6.08
Beaverton,Ontario,44.43,-79.15,June,2.62,5.39,4.61,5.94,8.72,6.01
Beaverton,Ontario,44.43,-79.15,March,4,4.95,4.87,4.79,6.33,3.6
Beaverton,Ontario,44.43,-79.15,May,2.81,5.29,4.63,5.69,8.03,5.44
Beaverton,Ontario,44.43,-79.15,November,2.24,2.36,2.45,2.15,2.82,1.34
Beaverton,Ontario,44.43,-79.15,October,3.11,3.7,3.71,3.5,4.59,2.46
Beaverton,Ontario,44.43,-79.15,September,3.09,4.43,4.19,4.43,5.97,3.81
Behchok??,Northwest,62.83,-116.06,Annual,3.39,3.99,3.74,4.04,6.16,2.86
Behchok??,Northwest,62.83,-116.06,April,5.77,6.77,6.34,6.86,10.21,4.49
Behchok??,Northwest,62.83,-116.06,August,3.6,4.67,4.16,4.94,7.68,4.06
Behchok??,Northwest,62.83,-116.06,December,1.08,1,1.07,0.86,1.12,0.15
Behchok??,Northwest,62.83,-116.06,February,3.83,3.74,3.88,3.37,4.43,0.97
Behchok??,Northwest,62.83,-116.06,January,1.8,1.68,1.79,1.47,1.91,0.29
Behchok??,Northwest,62.83,-116.06,July,3.7,5.19,4.45,5.72,9.89,5.72
Behchok??,Northwest,62.83,-116.06,June,3.84,5.5,4.68,6.11,10.92,6.34
Behchok??,Northwest,62.83,-116.06,March,5.97,6.23,6.22,5.91,8.13,2.58
Behchok??,Northwest,62.83,-116.06,May,4.29,5.7,5.03,6.14,10.13,5.76
Behchok??,Northwest,62.83,-116.06,November,1.66,1.58,1.67,1.4,1.81,0.38
Behchok??,Northwest,62.83,-116.06,October,2.04,2.14,2.14,2.02,2.6,1.09
Behchok??,Northwest,62.83,-116.06,September,3.16,3.66,3.45,3.66,5.01,2.4
Bellarmin,Quebec,45.75,-70.59,Annual,3.02,4.15,3.93,4.17,5.75,3.49
Bellarmin,Quebec,45.75,-70.59,April,3.16,4.88,4.48,5.05,6.77,4.41
Bellarmin,Quebec,45.75,-70.59,August,2.83,4.79,4.3,5.05,7.02,4.83
Bellarmin,Quebec,45.75,-70.59,December,2.56,2.44,2.62,2.15,2.96,1.17
Bellarmin,Quebec,45.75,-70.59,February,4.07,4.24,4.39,3.88,5.24,2.51
Bellarmin,Quebec,45.75,-70.59,January,3.12,3.01,3.21,2.66,3.67,1.54
Bellarmin,Quebec,45.75,-70.59,July,2.59,5.01,4.33,5.47,7.91,5.62
Bellarmin,Quebec,45.75,-70.59,June,2.46,4.82,4.14,5.31,7.72,5.63
Bellarmin,Quebec,45.75,-70.59,March,4.21,5.14,5.06,4.98,6.63,3.66
Bellarmin,Quebec,45.75,-70.59,May,2.73,4.96,4.35,5.36,7.61,5.19
Bellarmin,Quebec,45.75,-70.59,November,2.47,2.56,2.67,2.31,3.09,1.39
Bellarmin,Quebec,45.75,-70.59,October,2.95,3.5,3.5,3.31,4.4,2.32
Bellarmin,Quebec,45.75,-70.59,September,3.14,4.44,4.21,4.44,5.95,3.6
Black Tickle,Newfoundland and Labrador,53.46,-55.77,Annual,3,3.62,3.46,3.61,4.84,2.89
Black Tickle,Newfoundland and Labrador,53.46,-55.77,April,3.86,4.73,4.47,4.82,6.27,4.09
Black Tickle,Newfoundland and Labrador,53.46,-55.77,August,2.72,4,3.58,4.24,5.74,4.09
Black Tickle,Newfoundland and Labrador,53.46,-55.77,December,2.28,2.1,2.27,1.82,2.48,0.6
Black Tickle,Newfoundland and Labrador,53.46,-55.77,February,3.89,3.87,4.03,3.51,4.69,1.61
Black Tickle,Newfoundland and Labrador,53.46,-55.77,January,3,2.79,3,2.44,3.33,0.84
Black Tickle,Newfoundland and Labrador,53.46,-55.77,July,2.64,4.21,3.64,4.59,6.51,5.01
Black Tickle,Newfoundland and Labrador,53.46,-55.77,June,2.68,4.19,3.64,4.59,6.44,5.3
Black Tickle,Newfoundland and Labrador,53.46,-55.77,March,4.32,4.72,4.69,4.53,5.92,2.86
Black Tickle,Newfoundland and Labrador,53.46,-55.77,May,3.31,4.56,4.12,4.86,6.51,4.91
Black Tickle,Newfoundland and Labrador,53.46,-55.77,November,2.25,2.21,2.31,1.98,2.57,0.83
Black Tickle,Newfoundland and Labrador,53.46,-55.77,October,2.5,2.74,2.74,2.6,3.27,1.59
Black Tickle,Newfoundland and Labrador,53.46,-55.77,September,2.62,3.34,3.14,3.38,4.3,2.92
Blaketown,Newfoundland and Labrador,47.48,-53.55,Annual,2.51,3.42,3.22,3.46,4.52,3.12
Blaketown,Newfoundland and Labrador,47.48,-53.55,April,2.73,3.98,3.67,4.13,5.22,3.94
Blaketown,Newfoundland and Labrador,47.48,-53.55,August,2.68,4.35,3.91,4.59,6.1,4.52
Blaketown,Newfoundland and Labrador,47.48,-53.55,December,1.76,1.72,1.82,1.53,1.98,0.87
Blaketown,Newfoundland and Labrador,47.48,-53.55,February,3.03,3.18,3.27,2.94,3.8,1.97
Blaketown,Newfoundland and Labrador,47.48,-53.55,January,2.28,2.24,2.36,2,2.62,1.14
Blaketown,Newfoundland and Labrador,47.48,-53.55,July,2.54,4.55,3.96,4.96,6.73,5.27
Blaketown,Newfoundland and Labrador,47.48,-53.55,June,2.34,4.24,3.67,4.66,6.26,5.29
Blaketown,Newfoundland and Labrador,47.48,-53.55,March,3.33,4.01,3.92,3.9,4.96,3.06
Blaketown,Newfoundland and Labrador,47.48,-53.55,May,2.41,4.1,3.62,4.43,5.87,4.74
Blaketown,Newfoundland and Labrador,47.48,-53.55,November,1.83,1.94,1.99,1.78,2.25,1.16
Blaketown,Newfoundland and Labrador,47.48,-53.55,October,2.39,2.83,2.81,2.71,3.42,2.04
Blaketown,Newfoundland and Labrador,47.48,-53.55,September,2.82,3.87,3.66,3.89,5.02,3.41
Bourget,Ontario,45.44,-75.16,Annual,3.18,4.37,4.15,4.37,6.06,3.55
Bourget,Ontario,45.44,-75.16,April,3.25,5.05,4.65,5.21,7.04,4.46
Bourget,Ontario,45.44,-75.16,August,2.97,5.07,4.55,5.34,7.47,4.97
Bourget,Ontario,45.44,-75.16,December,2.84,2.68,2.89,2.33,3.27,1.16
Bourget,Ontario,45.44,-75.16,February,4.54,4.66,4.86,4.23,5.81,2.49
Bourget,Ontario,45.44,-75.16,January,3.55,3.38,3.63,2.96,4.15,1.52
Bourget,Ontario,45.44,-75.16,July,2.72,5.34,4.59,5.82,8.46,5.86
Bourget,Ontario,45.44,-75.16,June,2.58,5.19,4.43,5.71,8.3,5.85
Bourget,Ontario,45.44,-75.16,March,4.48,5.42,5.35,5.22,7.03,3.64
Bourget,Ontario,45.44,-75.16,May,2.74,5.12,4.47,5.51,7.81,5.34
Bourget,Ontario,45.44,-75.16,November,2.46,2.55,2.66,2.3,3.05,1.33
Bourget,Ontario,45.44,-75.16,October,3.08,3.61,3.62,3.4,4.47,2.32
Bourget,Ontario,45.44,-75.16,September,3.1,4.39,4.15,4.39,5.86,3.64
Bowen Bay,BC,49.35,-123.42,Annual,2.61,3.66,3.41,3.73,5.18,3.23
Bowen Bay,BC,49.35,-123.42,April,2.95,4.4,4.02,4.56,6.17,4.06
Bowen Bay,BC,49.35,-123.42,August,3.2,5.15,4.61,5.43,7.77,5.23
Bowen Bay,BC,49.35,-123.42,December,1.62,1.58,1.68,1.39,1.87,0.67
Bowen Bay,BC,49.35,-123.42,February,2.27,2.5,2.53,2.33,2.99,1.45
Bowen Bay,BC,49.35,-123.42,January,1.71,1.73,1.81,1.55,2.04,0.82
Bowen Bay,BC,49.35,-123.42,July,2.92,5.27,4.55,5.76,8.59,6.08
